document_id,item,description,quantity,unit_price,line_total
WALMART-11-NA,BEVERAGE abst ogat F,,1.0,2.0,2.0
WALMART-11-NA,OS CRAN POM F,,1.0,2.0,2.0
WALMART-11-NA,HARD SALAMI F,,1.0,3.43,3.43
WALMART-11-NA,AT FOR,,1.0,1.76,1.76
WALMART-11-NA,aug WHITE Bear et F,,1.0,1.0,1.0
WALMART-11-NA,H NYLON COL,,1.0,2.97,2.97
WALMART-11-NA,jin CLEANER,,1.0,1.67,1.67
WALMART-11-NA,INJECTR CLNR,,1.0,8.87,8.87
WALMART-11-NA,BANANAS KI,,1.75,0.54,0.95
WALMART-11-NA,BEVERAGE F,,1.0,2.0,2.0
WALMART-11-NA,S cy POM F,,1.0,2.0,2.0
WALMART-11-NA,STRWBRY CC F,,1.0,0.96,0.96
WALMART-11-NA,CAMPARI TOM,,1.0,2.98,2.98
WALMART-11-NA,AT FOR,,1.0,1.76,1.76
WALMART-11-NA,PILLS WHITE F,,1.0,1.0,1.0
WALMART-11-NA,SH NYLON COL,,1.0,2.97,2.97
WALMART-11-NA,HAND CLEANER,,1.0,1.67,1.67
