document_id,item,description,quantity,unit_price,line_total
WALMART-00-NA,BANANAS KF,,0.41,0.49,0.2
WALMART-00-NA,FRAP F,,1.0,5.48,5.48
TRADERJO-01-NA,R-CARROTS SHREDDED OZ,,1.0,1.29,1.29
TRADERJO-01-NA,R-CUCUMBERS PERSIAN LB,,1.0,1.99,1.99
TRADERJO-01-NA,TOMATOES CRUSHED NO SALT,,1.0,1.59,1.59
TRADERJO-01-NA,TOMATOES WHOLE NO SALT W/BASIL,,1.0,1.59,1.59
TRADERJO-01-NA,ORGANIC OLD FASHIONED OATMEAL,,1.0,2.69,2.69
TRADERJO-01-NA,MINI-PEARL TOMATOES,,1.0,2.49,2.49
TRADERJO-01-NA,PKG SHREDDED MOZZARELLA LITeT,,1.0,3.99,3.99
TRADERJO-01-NA,BEANS GARBANZO,,1.0,0.89,0.89
TRADERJO-01-NA,SPROUTED CA STYLE,,1.0,2.99,2.99
TRADERJO-01-NA,A-AVOCADOS HASS BAG ACT,,1.0,3.99,3.99
TRADERJO-01-NA,A-APPLE BAG JAZZ LB,,1.0,2.99,2.99
TRADERJO-01-NA,A-PEPPER BELL EACH XL RED,,1.0,0.99,0.99
TRADERJO-01-NA,BANANAS ORGANIC,,1.0,0.87,0.87
TRADERJO-01-NA,CREAMY SALTED PEANUT BUTTER,,1.0,2.49,2.49
TRADERJO-01-NA,WHL WHT PITA BREAD,,1.0,1.69,1.69
WALMART-02-NA,OT TUM,,1.0,6.74,6.74
WALMART-02-NA,M ATHLETICS,,1.0,24.97,24.97
WALMART-02-NA,DEXAS X,,1.0,12.97,12.97
WALMART-03-NA,WAS YOU SAVED,,1.0,0.64,0.64
WALMART-03-NA,ANSCK BARS Oozisogqgeig F,,1.0,4.98,4.98
WALMART-03-NA,HRI Use F,,1.0,6.88,6.88
WALMART-03-NA,HRI CL PEP F,,1.0,5.88,5.88
WALMART-03-NA,SC BCN CHDDR F,,1.0,6.98,6.98
WALMART-03-NA,ABE THINBRST F,,1.0,9.72,9.72
WALMART-03-NA,GALE ooo K,,1.0,32.0,32.0
WALMART-03-NA,TR HS FRH,,1.0,2.74,2.74
WALMART-03-NA,GV SLIDERS,,1.0,2.98,2.98
WALMART-03-NA,ACCESSORY,,1.0,0.97,0.97
WALMART-03-NA,RITZ F,,1.0,2.78,2.78
WALMART-03-NA,RUFFLES F,,1.0,2.5,2.5
WALMART-04-NA,SW HRO FGHTR,,1.0,6.94,6.94
WALMART-04-NA,Sama,,1.0,6.94,6.94
WALMART-04-NA,SW HRO FGHTR,,1.0,6.94,6.94
WHOLEFOO-05-NA,CHEF PLATE MEAL,,10.0,20.0,200.0
WALMART-07-NA,WING PLATE,,1.0,3.98,3.98
WALMART-07-NA,ASST,,1.0,4.88,4.88
WALMART-07-NA,CUTIE CAR,,1.0,12.88,12.88
WALMART-07-NA,WING PLATE,,1.0,3.98,3.98
THORNTON-08-NA,A TAK,,1.0,0.55,0.55
THORNTON-08-NA,TAK,,1.0,2.97,2.97
THORNTON-08-NA,wee GRND TURKEY,,1.0,1.47,1.47
THORNTON-08-NA,Check/Menber Prntd,,1.0,89.13,89.13
YOLANCTA-09-NA,Eve NO SI,,1.0,18.24,18.24
YOLANCTA-09-NA,PORK / LOIN,,1.0,1.09,1.09
YOLANCTA-09-NA,L D OATMEAL CRM,,1.0,1.25,1.25
YOLANCTA-09-NA,oTAL,,1.0,121.92,121.92
WALMART-10-NA,WING PLATE,,1.0,3.98,3.98
WALMART-10-NA,ASST,,1.0,4.88,4.88
WALMART-10-NA,CUTIE CAR,,1.0,12.88,12.88
WALMART-10-NA,WING PLATE,,1.0,3.98,3.98
WALMART-11-NA,BEVERAGE abst ogat F,,1.0,2.0,2.0
WALMART-11-NA,OS CRAN POM F,,1.0,2.0,2.0
WALMART-11-NA,HARD SALAMI F,,1.0,3.43,3.43
WALMART-11-NA,AT FOR,,1.0,1.76,1.76
WALMART-11-NA,aug WHITE Bear et F,,1.0,1.0,1.0
WALMART-11-NA,H NYLON COL,,1.0,2.97,2.97
WALMART-11-NA,jin CLEANER,,1.0,1.67,1.67
WALMART-11-NA,INJECTR CLNR,,1.0,8.87,8.87
WALMART-11-NA,BANANAS KI,,1.75,0.54,0.95
WALMART-11-NA,BEVERAGE F,,1.0,2.0,2.0
WALMART-11-NA,S cy POM F,,1.0,2.0,2.0
WALMART-11-NA,STRWBRY CC F,,1.0,0.96,0.96
WALMART-11-NA,CAMPARI TOM,,1.0,2.98,2.98
WALMART-11-NA,AT FOR,,1.0,1.76,1.76
WALMART-11-NA,PILLS WHITE F,,1.0,1.0,1.0
WALMART-11-NA,SH NYLON COL,,1.0,2.97,2.97
WALMART-11-NA,HAND CLEANER,,1.0,1.67,1.67
